,primary_gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,NCBI_ID
11223,CBY1,C22ORF2,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11224,CBY1,C22orf2,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11225,CBY1,CBY,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11226,CBY1,CHIBBY,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11227,CBY1,CHIBBY1,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11228,CBY1,Cby,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11229,CBY1,Chibby,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11230,CBY1,Chibby1,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11231,CBY1,HS508I15A,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11232,CBY1,PGEA1,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11233,CBY1,PIGEA-14,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11234,CBY1,PIGEA14,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11235,CBY1,arb1,{'HGNC:1307'},{'ENSG00000100211'},{'GENE ID:25776'}
11236,CBY1P1,,{'HGNC:54769'},{'ENSG00000236832'},{'GENE ID:100131562'}
11237,CBY2,NURIT,{'HGNC:30720'},{'ENSG00000174015'},{'GENE ID:220082'}
11238,CBY2,SPERT,{'HGNC:30720'},{'ENSG00000174015'},{'GENE ID:220082'}
11239,CBY3,,{'HGNC:33278'},"{'ENSG00000204659', 'ENSG00000283718'}",{'GENE ID:646019'}
11240,CC2D1A,AKI-1,{'HGNC:30237'},"{'ENSG00000288293', 'ENSG00000132024'}",{'GENE ID:54862'}
11241,CC2D1A,Aki-1,{'HGNC:30237'},{'ENSG00000132024'},{'GENE ID:54862'}
11242,CC2D1A,FLJ20241,{'HGNC:30237'},"{'ENSG00000288293', 'ENSG00000132024'}",{'GENE ID:54862'}
11243,CC2D1A,FREUD-1,{'HGNC:30237'},"{'ENSG00000288293', 'ENSG00000132024'}",{'GENE ID:54862'}
11244,CC2D1A,Freud-1,{'HGNC:30237'},{'ENSG00000132024'},{'GENE ID:54862'}
11245,CC2D1A,Freud-1/Aki1,{'HGNC:30237'},{'ENSG00000132024'},{'GENE ID:54862'}
