,primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
74129,LAMP3,HGNC:14582,ENSG00000078081,GENE ID:27074,TSC403
74130,LAMP3,HGNC:14582,ENSG00000078081,GENE ID:27074,DC-LAMP
74131,LAMP3,HGNC:14582,ENSG00000078081,GENE ID:27074,DCLAMP
74132,LAMP3,HGNC:14582,ENSG00000078081,GENE ID:27074,CD208
74133,VPS11,HGNC:14583,ENSG00000160695,GENE ID:55823,RNF108
74134,VPS11,HGNC:14583,ENSG00000160695,GENE ID:55823,PEP5
74135,VPS16,HGNC:14584,ENSG00000215305,GENE ID:64601,
74136,CAMK1G,HGNC:14585,ENSG00000008118,GENE ID:57172,VWS1
74137,CAMK1G,HGNC:14585,ENSG00000008118,GENE ID:57172,CLICKIII
74138,CAMK1G,HGNC:14585,ENSG00000008118,GENE ID:57172,dJ272L16.1
74139,ING3,HGNC:14587,ENSG00000071243,GENE ID:54556,p47ING3
74140,ING3,HGNC:14587,ENSG00000071243,GENE ID:54556,FLJ20089
